COUNTRYNAME,ISO_3_CODE,WHO_REGION,WB_INCOME,HPV_NATIONAL_SCHEDULE,HPV_YEAR_INTRODUCTION,HPV_PRIM_DELIV_STRATEGY,HPV_AGEADMINISTERED,HPV_SEX,HPV_INT_DOSES,HPV1_COVERAGELASTYEAR,HPVC_COVERAGELASTYEAR,Gavi Status
Afghanistan,AFG,EMR,Low income,No,,,,,Not yet introduced,,,Gavi
Albania,ALB,EUR,Upper middle income,Yes,2022,Facility-based,13,Female,1 dose,0.43,0.43,Non-Gavi
Algeria,DZA,AFR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
Andorra,AND,EUR,High income,Yes,2014,School-based,12,Both sexes,2 doses (6 months),0.92,0.82,Non-Gavi
Angola,AGO,AFR,Lower middle income,Yes,2025,mixed,9-12,Female,1 dose,,,Non-Gavi
Antigua and Barbuda,ATG,AMR,High income,Yes,2018,Facility-based,9-13,Both sexes,2 doses (6 months),0.02,0.01,Non-Gavi
Argentina,ARG,AMR,Upper middle income,Yes,2011,Varies by region/province,11,Both sexes,1 dose,0.55,0.55,Non-Gavi
Armenia,ARM,EUR,Upper middle income,Yes,2017,Facility-based,14,Female,1 dose,0.38,0.31,Non-Gavi
Australia,AUS,WPR,High income,Yes,2007,School-based,12-13,Both sexes,1 dose,0.73,0.73,Non-Gavi
Austria,AUT,EUR,High income,Yes,2014,School-based,9,Both sexes,2 doses (6 months),0.53,0.31,Non-Gavi
Azerbaijan,AZE,EUR,Upper middle income,No,,,,,Not yet introduced,,,Non-Gavi
Bahamas,BHS,AMR,High income,Yes,2015,School-based,9-10,Both sexes,,0.25,0.03,Non-Gavi
Bahrain,BHR,EMR,High income,Yes,2023,,12-13,Both sexes,2 doses (6 months),0.74,0.0,Non-Gavi
Bangladesh,BGD,SEAR,Lower middle income,Yes,2023,,10-14,Female,1 dose,0.9,0.9,Gavi
Barbados,BRB,AMR,High income,Yes,2014,School-based,10-11,Both sexes,1 dose,0.43,0.43,Non-Gavi
Belarus,BLR,EUR,Upper middle income,Yes,2025,School-based,11-14,Female,2 doses (6 months),,,Non-Gavi
Belgium,BEL,EUR,High income,Yes,2007,School-based,12-14,Both sexes,2 doses (6 months),0.8,0.72,Non-Gavi
Belize,BLZ,AMR,Upper middle income,Yes,2016,School-based,9-14,Both sexes,1 dose,0.62,0.62,Non-Gavi
Benin,BEN,AFR,Lower middle income,No,,,,,Not yet introduced,,,Gavi
Bhutan,BTN,SEAR,Lower middle income,Yes,2009,School-based,12,Both sexes,1 dose,0.94,0.92,Non-Gavi
Bolivia (Plurinational State of),BOL,AMR,Lower middle income,Yes,2017,School-based,10,Both sexes,1 dose,0.78,0.78,Non-Gavi
Bosnia and Herzegovina,BIH,EUR,Upper middle income,Yes,2022,mixed,11-14,Both sexes,2 doses (6 months),0.03,0.09,Non-Gavi
Botswana,BWA,AFR,Upper middle income,Yes,2015,School-based,9-13,Female,2 doses (6 months),0.93,0.34,Non-Gavi
Brazil,BRA,AMR,Upper middle income,Yes,2013,Facility-based,9-14,Both sexes,1 dose,0.79,0.79,Non-Gavi
Brunei Darussalam,BRN,WPR,High income,Yes,2012,mixed,13,Female,2 doses (6 months),0.92,0.88,Non-Gavi
Bulgaria,BGR,EUR,Upper middle income,Yes,2017,Facility-based,12-13,Both sexes,2 doses (6 months),0.11,0.09,Non-Gavi
Burkina Faso,BFA,AFR,Low income,Yes,2022,School-based,9,Female,1 dose,0.99,0.99,Gavi
Burundi,BDI,AFR,Low income,No,,,,,Not yet introduced,,,Gavi
Cabo Verde,CPV,AFR,Lower middle income,Yes,2021,,,Both sexes,1 dose,0.99,0.99,Non-Gavi
Cambodia,KHM,WPR,Lower middle income,Yes,2023,,9,Female,1 dose,0.85,0.85,Gavi
Cameroon,CMR,AFR,Lower middle income,Yes,2020,School-based,9,Both sexes,1 dose,0.36,0.36,Gavi
Canada,CAN,AMR,High income,Yes,2009,School-based,12,Both sexes,1 dose,0.86,0.86,Non-Gavi
Central African Republic,CAF,AFR,Low income,No,,,,,Not yet introduced,,,Gavi
Chad,TCD,AFR,Low income,No,,,,,Not yet introduced,,,Gavi
Chile,CHL,AMR,High income,Yes,2014,School-based,9,Both sexes,1 dose,0.94,0.87,Non-Gavi
China,CHN,WPR,Upper middle income,Yes,2025,mixed,13,Female,2 doses (6 months),,,Non-Gavi
Colombia,COL,AMR,Upper middle income,Yes,2012,School-based,9-17,Both sexes,1 dose,0.6,0.6,Non-Gavi
Comoros,COM,AFR,Lower middle income,No,,,,,Not yet introduced,,,Gavi
Congo,COG,AFR,Lower middle income,No,,,,,Not yet introduced,,,Gavi
Cook Islands,COK,WPR,,Yes,2011,School-based,9,Female,2 doses (6 months),0.77,0.37,Non-Gavi
Costa Rica,CRI,AMR,Upper middle income,Yes,2019,School-based,10,Both sexes,2 doses (6 months),0.92,0.84,Non-Gavi
Côte d'Ivoire,CIV,AFR,Lower middle income,Yes,2019,School-based,9,Female,1 dose,0.61,0.61,Gavi
Croatia,HRV,EUR,High income,Yes,2016,School-based,14,Both sexes,2 doses (6 months),0.53,0.53,Non-Gavi
Cuba,CUB,AMR,Upper middle income,Yes,2025,School-based,4th Grade (9-11),Female,1 dose,,,Non-Gavi
Cyprus,CYP,EUR,High income,Yes,2016,School-based,11-14,Both sexes,2 doses (6 months),0.83,0.89,Non-Gavi
Czechia,CZE,EUR,High income,Yes,2012,Facility-based,13,Both sexes,2 doses (6 months),0.75,0.75,Non-Gavi
Democratic People's Republic of Korea,PRK,SEAR,Low income,No,,,,,Not yet introduced,,,Gavi
Democratic Republic of the Congo,COD,AFR,Low income,No,,,,,Not yet introduced,,,Gavi
Denmark,DNK,EUR,High income,Yes,2007,Facility-based,12-14,Both sexes,2 doses (6 months),0.89,0.81,Non-Gavi
Djibouti,DJI,EMR,Lower middle income,No,,,,,Not yet introduced,,,Gavi
Dominica,DMA,AMR,Upper middle income,Yes,2019,School-based,11-12,Both sexes,1 dose,0.77,0.77,Non-Gavi
Dominican Republic,DOM,AMR,Upper middle income,Yes,2017,Facility-based,9-14,Both sexes,1 dose,0.45,0.45,Non-Gavi
Ecuador,ECU,AMR,Upper middle income,Yes,2014,School-based,9-14,Both sexes,1 dose,0.89,0.89,Non-Gavi
Egypt,EGY,EMR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
El Salvador,SLV,AMR,Upper middle income,Yes,2020,School-based,9,Both sexes,1 dose,0.86,0.86,Non-Gavi
Equatorial Guinea,GNQ,AFR,Upper middle income,No,,,,,Not yet introduced,,,Non-Gavi
Eritrea,ERI,AFR,Low income,Yes,2022,,,Female,2 doses (6 months),0.68,0.49,Gavi
Estonia,EST,EUR,High income,Yes,2018,School-based,12-18,Both sexes,1 dose,0.63,0.63,Non-Gavi
Eswatini,SWZ,AFR,Lower middle income,Yes,2023,School-based,9,Female,1 dose,0.3,0.3,Non-Gavi
Ethiopia,ETH,AFR,Low income,Yes,2018,School-based,9,Female,1 dose,0.58,0.58,Gavi
Fiji,FJI,WPR,Upper middle income,Yes,2013,School-based,13,Female,2 doses (6 months),0.89,0.71,Non-Gavi
Finland,FIN,EUR,High income,Yes,2013,School-based,10-12,Both sexes,2 doses (6 months),0.71,0.62,Non-Gavi
France,FRA,EUR,High income,Yes,2006,Facility-based,11-14,Both sexes,2 doses (6 months),0.48,0.45,Non-Gavi
Gabon,GAB,AFR,Upper middle income,No,,,,,Not yet introduced,,,Non-Gavi
Gambia,GMB,AFR,Low income,Yes,2019,School-based,9-14,Female,1 dose,0.15,0.15,Gavi
Georgia,GEO,EUR,Upper middle income,Yes,2019,Facility-based,10-12,Both sexes,2 doses (6 months),0.32,0.29,Non-Gavi
Germany,DEU,EUR,High income,Yes,2007,Facility-based,9-14,Both sexes,2 doses (6 months),0.68,0.55,Non-Gavi
Ghana,GHA,AFR,Lower middle income,Yes,2025,School-based,9-14,Female,1 dose,,,Gavi
Greece,GRC,EUR,High income,Yes,2009,Facility-based,11-12,Both sexes,2 doses (6 months),0.0,0.0,Non-Gavi
Grenada,GRD,AMR,Upper middle income,Yes,2019,School-based,9,Female,1 dose,0.05,0.05,Non-Gavi
Guatemala,GTM,AMR,Upper middle income,Yes,2018,School-based,9-17,Both sexes,1 dose,0.57,0.57,Non-Gavi
Guinea,GIN,AFR,Lower middle income,No,,,,,Not yet introduced,,,Gavi
Guinea-Bissau,GNB,AFR,Low income,No,,,,,Not yet introduced,,,Gavi
Guyana,GUY,AMR,High income,Yes,2011,School-based,9-16,Both sexes,1 dose,0.71,0.71,Non-Gavi
Haiti,HTI,AMR,Lower middle income,No,,,,,Not yet introduced,,,Gavi
Honduras,HND,AMR,Lower middle income,Yes,2016,School-based,12-15,Female,1 dose,0.72,0.72,Non-Gavi
Hungary,HUN,EUR,High income,Yes,2014,School-based,12,Both sexes,2 doses (6 months),0.77,0.75,Non-Gavi
Iceland,ISL,EUR,High income,Yes,2011,School-based,12,Both sexes,2 doses (6 months),0.93,0.89,Non-Gavi
India,IND,SEAR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
Indonesia,IDN,WPR,Upper middle income,Yes,2017,School-based,11,Female,1 dose,0.8,0.79,Non-Gavi
Iran (Islamic Republic of),IRN,EMR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
Iraq,IRQ,EMR,Upper middle income,No,,,,,Not yet introduced,,,Non-Gavi
Ireland,IRL,EUR,High income,Yes,2010,School-based,12,Both sexes,1 dose,0.73,0.73,Non-Gavi
Israel,ISR,EUR,High income,Yes,2010,School-based,13,Both sexes,2 doses (6 months),0.51,0.58,Non-Gavi
Italy,ITA,EUR,High income,Yes,2009,Varies by region/province,11,Both sexes,2 doses (6 months),0.66,0.51,Non-Gavi
Jamaica,JAM,AMR,Upper middle income,Yes,2017,School-based,11-12,Both sexes,1 dose,0.07,0.07,Non-Gavi
Japan,JPN,WPR,High income,Yes,2013,Facility-based,13,Female,2 doses (6 months),0.39,0.17,Non-Gavi
Jordan,JOR,EMR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
Kazakhstan,KAZ,EUR,Upper middle income,Yes,2024,School-based,11,Female,2 doses (6 months),0.38,0.0,Non-Gavi
Kenya,KEN,AFR,Lower middle income,Yes,2019,Facility-based,10,Female,1 dose,0.79,0.36,Gavi
Kiribati,KIR,WPR,Lower middle income,Yes,2023,,9,Female,1 dose,0.71,0.71,Non-Gavi
Kuwait,KWT,EMR,High income,Yes,2023,School-based,9-14,Both sexes,2 doses (6 months),0.0,0.0,Non-Gavi
Kyrgyzstan,KGZ,EUR,Lower middle income,Yes,2022,School-based,,Female,1 dose,0.88,0.88,Gavi
Lao People's Democratic Republic,LAO,WPR,Lower middle income,Yes,2020,School-based,10,Female,1 dose,0.95,0.95,Gavi
Latvia,LVA,EUR,High income,Yes,2010,Facility-based,12,Both sexes,2 doses (6 months),0.64,0.51,Non-Gavi
Lebanon,LBN,EMR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
Lesotho,LSO,AFR,Lower middle income,Yes,2022,,,Female,2 doses (6 months),0.7,0.7,Gavi
Liberia,LBR,AFR,Low income,Yes,2019,mixed,9,Female,1 dose,0.71,0.71,Gavi
Libya,LBY,EMR,Upper middle income,Yes,2013,,12,Female,,0.51,0.28,Non-Gavi
Lithuania,LTU,EUR,High income,Yes,2016,Facility-based,11,Both sexes,2 doses (6 months),0.57,0.59,Non-Gavi
Luxembourg,LUX,EUR,High income,Yes,2008,Facility-based,9-13,Both sexes,2 doses (6 months),0.87,0.79,Non-Gavi
Madagascar,MDG,AFR,Low income,No,,,,,Not yet introduced,,,Gavi
Malawi,MWI,AFR,Low income,Yes,2019,School-based,9,Female,1 dose,0.54,0.21,Gavi
Malaysia,MYS,WPR,Upper middle income,Yes,2010,School-based,13,Female,1 dose,0.78,0.78,Non-Gavi
Maldives,MDV,SEAR,Upper middle income,Yes,2019,School-based,10,Female,1 dose,0.75,0.55,Non-Gavi
Mali,MLI,AFR,Low income,Yes,2024,mixed,10,Female,1 dose,0.15,0.15,Gavi
Malta,MLT,EUR,High income,Yes,2013,Facility-based,12,Both sexes,2 doses (6 months),0.86,0.8,Non-Gavi
Marshall Islands,MHL,WPR,Upper middle income,Yes,2009,mixed,11,Female,2 doses (6 months),0.7,0.5,Non-Gavi
Mauritania,MRT,AFR,Lower middle income,Yes,2021,mixed,9,Female,1 dose,0.51,0.51,Gavi
Mauritius,MUS,AFR,Upper middle income,Yes,2016,School-based,9,Both sexes,2 doses (6 months),0.92,0.92,Non-Gavi
Mexico,MEX,AMR,Upper middle income,Yes,2012,School-based,9-11,Both sexes,1 dose,0.82,0.82,Non-Gavi
Micronesia (Federated States of),FSM,WPR,Lower middle income,Yes,2010,School-based,10,Female,2 doses (6 months),0.7,0.4,Non-Gavi
Monaco,MCO,EUR,High income,Yes,2006,Facility-based,11,Both sexes,2 doses (6 months),0.16,0.0,Non-Gavi
Mongolia,MNG,WPR,Lower middle income,Yes,2024,School-based,11,Both sexes,1 dose,0.25,0.25,Non-Gavi
Montenegro,MNE,EUR,Upper middle income,Yes,2022,Facility-based,9-14,Both sexes,1 dose,0.05,0.05,Non-Gavi
Morocco,MAR,EMR,Lower middle income,Yes,2022,,,Female,1 dose,0.03,0.03,Non-Gavi
Mozambique,MOZ,AFR,Low income,Yes,2021,School-based,9,Female,1 dose,0.89,0.89,Gavi
Myanmar,MMR,SEAR,Lower middle income,Yes,2020,School-based,9,Female,1 dose,0.83,0.83,Gavi
Namibia,NAM,AFR,Upper middle income,Yes,2025,Facility based,9-14,Female,1 dose,,,Non-Gavi
Nauru,NRU,WPR,High income,Yes,2021,,11,Female,2 doses (6 months),0.23,0.06,Non-Gavi
Nepal,NPL,SEAR,Lower middle income,Yes,2025,School-based,10,Female,1 dose,,,Gavi
Netherlands (Kingdom of the),NLD,EUR,High income,Yes,2010,Facility-based,12,Both sexes,2 doses (6 months),0.63,0.63,Non-Gavi
New Zealand,NZL,WPR,High income,Yes,2008,mixed,11,Both sexes,2 doses (6 months),0.53,0.52,Non-Gavi
Nicaragua,NIC,AMR,Lower middle income,Yes,2023,School-based,12-14,Female,2 doses (6 months),0.0,0.99,Non-Gavi
Niger,NER,AFR,Low income,No,,,,,Not yet introduced,,,Gavi
Nigeria,NGA,AFR,Lower middle income,Yes,2023,mixed,9-14,Female,1 dose,0.6,0.6,Gavi
Niue,NIU,WPR,,Yes,2019,School-based,12,Both sexes,2 doses (6 months),0.99,0.99,Non-Gavi
North Macedonia,MKD,EUR,Upper middle income,Yes,2009,School-based,12,Both sexes,2 doses (6 months),0.58,0.4,Non-Gavi
Norway,NOR,EUR,High income,Yes,2009,School-based,12,Both sexes,2 doses (6 months),0.93,0.91,Non-Gavi
Oman,OMN,EMR,High income,Yes,2025,School-based,12,Both sexes,2 doses (6 months),,,Non-Gavi
Pakistan,PAK,EMR,Lower middle income,Yes (Partial),2025,mixed,9-14,Female,1 dose,,,Gavi
Palau,PLW,WPR,Upper middle income,Yes,2008,School-based,,Female,2 doses (6 months),0.58,0.43,Non-Gavi
Panama,PAN,AMR,High income,Yes,2008,mixed,10,Both sexes,2 doses (6 months),0.71,0.54,Non-Gavi
Papua New Guinea,PNG,WPR,Lower middle income,No,,,,,Not yet introduced,,,Gavi
Paraguay,PRY,AMR,Upper middle income,Yes,2013,mixed,10,Both sexes,1 dose,0.47,0.47,Non-Gavi
Peru,PER,AMR,Upper middle income,Yes,2015,School-based,10,Both sexes,1 dose,0.97,0.97,Non-Gavi
Philippines,PHL,WPR,Lower middle income,Yes (Partial),2016,School-based,9-14,Female,2 doses (6 months),0.5,0.05,Non-Gavi
Poland,POL,EUR,High income,Yes,2023,Facility-based,11-14,Both sexes,2 doses (6 months),0.1,0.13,Non-Gavi
Portugal,PRT,EUR,High income,Yes,2008,Facility-based,10,Both sexes,2 doses (6 months),0.91,0.92,Non-Gavi
Qatar,QAT,EMR,High income,Yes,2023,,,Both sexes,2 doses (6 months),0.04,0.01,Non-Gavi
Republic of Korea,KOR,WPR,High income,Yes,2016,Facility-based,12,Female,2 doses (6 months),0.85,0.69,Non-Gavi
Republic of Moldova,MDA,EUR,Upper middle income,Yes (Partial),2019,School-based,10,Female,2 doses (6 months),0.52,0.42,Non-Gavi
Romania,ROU,EUR,High income,Yes,2023,Facility-based,11-14,Both sexes,2 doses (6 months),0.18,0.17,Non-Gavi
Russian Federation,RUS,EUR,Upper middle income,No,,,,,Not yet introduced,,,Non-Gavi
Rwanda,RWA,AFR,Low income,Yes,2011,School-based,12,Female,1 dose,0.77,0.69,Gavi
Saint Kitts and Nevis,KNA,AMR,High income,Yes,2019,School-based,11,Both sexes,1 dose,0.78,0.78,Non-Gavi
Saint Lucia,LCA,AMR,Upper middle income,Yes,2019,School-based,11-12,Both sexes,1 dose,0.71,0.71,Non-Gavi
Saint Vincent and the Grenadines,VCT,AMR,Upper middle income,Yes,2017,School-based,11-12,Female,1 dose,0.08,0.08,Non-Gavi
Samoa,WSM,WPR,Lower middle income,Yes,2022,School-based,10-13,Female,1 dose,0.64,0.64,Non-Gavi
San Marino,SMR,EUR,High income,Yes,2008,Facility-based,11-14,Both sexes,2 doses (6 months),0.62,0.56,Non-Gavi
Sao Tome and Principe,STP,AFR,Lower middle income,Yes,2021,,,Female,1 dose,0.75,0.75,Gavi
Saudi Arabia,SAU,EMR,High income,Yes,2022,School-based,,Female,2 doses (12 months),0.5,0.0,Non-Gavi
Senegal,SEN,AFR,Lower middle income,Yes,2018,Facility-based,9,Female,2 doses (6 months),0.66,0.51,Gavi
Serbia,SRB,EUR,Upper middle income,Yes,2022,,,Both sexes,2 doses (6 months),0.04,0.04,Non-Gavi
Seychelles,SYC,AFR,High income,Yes,2014,School-based,10,Both sexes,2 doses (6 months),0.71,0.23,Non-Gavi
Sierra Leone,SLE,AFR,Low income,Yes,2022,,10,Female,1 dose,0.61,0.61,Gavi
Singapore,SGP,WPR,High income,Yes,2010,School-based,9-26,Female,2 doses (6 months),0.78,0.7,Non-Gavi
Slovakia,SVK,EUR,High income,Yes,2022,,12,Both sexes,2 doses (6 months),0.36,0.24,Non-Gavi
Slovenia,SVN,EUR,High income,Yes,2009,School-based,11,Both sexes,2 doses (6 months),0.43,0.43,Non-Gavi
Solomon Islands,SLB,WPR,Lower middle income,Yes,2019,mixed,9,Female,1 dose,0.78,0.78,Gavi
Somalia,SOM,EMR,Low income,No,,,,,Not yet introduced,,,Gavi
South Africa,ZAF,AFR,Upper middle income,Yes,2014,School-based,9,Female,1 dose,0.79,0.79,Non-Gavi
South Sudan,SSD,AFR,Low income,No,,,,,Not yet introduced,,,Gavi
Spain,ESP,EUR,High income,Yes,2007,mixed,12,Both sexes,1 dose,0.9,0.9,Non-Gavi
Sri Lanka,LKA,SEAR,Lower middle income,Yes,2017,mixed,10-11,Female,2 doses (6 months),0.48,0.12,Non-Gavi
Sudan,SDN,EMR,Low income,No,,,,,Not yet introduced,,,Gavi
Suriname,SUR,AMR,Upper middle income,Yes,2013,School-based,9-13,Both sexes,1 dose,0.13,0.13,Non-Gavi
Sweden,SWE,EUR,High income,Yes,2010,School-based,10-11,Both sexes,2 doses (6 months),0.91,0.87,Non-Gavi
Switzerland,CHE,EUR,High income,Yes,2006,mixed,11-14,Both sexes,2 doses (6 months),0.78,0.7,Non-Gavi
Syrian Arab Republic,SYR,EMR,Low income,No,,,,,Not yet introduced,,,Gavi
Tajikistan,TJK,EUR,Lower middle income,Yes,2025,School-based,10-14,Female,1 dose,,,Gavi
Thailand,THA,SEAR,Upper middle income,Yes,2017,School-based,11,Female,1 dose,0.57,0.36,Non-Gavi
Timor-Leste,TLS,SEAR,Lower middle income,Yes,2024,School-based,11-14,Female,1 dose,0.99,0.99,Non-Gavi
Togo,TGO,AFR,Low income,Yes,2023,School-based,9-14,Female,1 dose,0.36,0.36,Gavi
Tonga,TON,WPR,Upper middle income,Yes,2022,,,Female,1 dose,0.67,0.67,Non-Gavi
Trinidad and Tobago,TTO,AMR,High income,Yes,2013,mixed,11-15,Both sexes,2 doses (6 months),0.38,0.16,Non-Gavi
Tunisia,TUN,EMR,Lower middle income,Yes,2025,School-based,12,Female,1 dose,,,Non-Gavi
Türkiye,TUR,EUR,Upper middle income,No,2025,,13,Both sexes,Not yet introduced,,,Non-Gavi
Turkmenistan,TKM,EUR,Upper middle income,Yes,2016,mixed,9,Both sexes,1 dose,0.97,0.99,Non-Gavi
Tuvalu,TUV,WPR,Upper middle income,Yes,2021,,,Female,1 dose,0.7,0.7,Non-Gavi
Uganda,UGA,AFR,Low income,Yes,2015,School-based,10,Female,1 dose,0.95,0.95,Gavi
Ukraine,UKR,EUR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
United Arab Emirates,ARE,EMR,High income,Yes,2018,School-based,13,Both sexes,2 doses (6 months),0.51,0.46,Non-Gavi
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,High income,Yes,2008,School-based,12-13,Both sexes,1 dose,0.75,0.75,Non-Gavi
United Republic of Tanzania,TZA,AFR,Lower middle income,Yes,2018,mixed,9,Female,1 dose,0.94,0.94,Gavi
United States of America,USA,AMR,High income,Yes,2006,Facility-based,11-12,Both sexes,2 doses (6 months),0.74,0.52,Non-Gavi
Uruguay,URY,AMR,High income,Yes,2013,Facility-based,11,Both sexes,2 doses (6 months),0.77,0.54,Non-Gavi
Uzbekistan,UZB,EUR,Lower middle income,Yes,2019,School-based,9,Both sexes,1 dose,0.91,0.99,Non-Gavi
Vanuatu,VUT,WPR,Lower middle income,Yes,2023,School-based,9,Female,1 dose,0.43,0.43,Non-Gavi
Venezuela (Bolivarian Republic of),VEN,AMR,,No,,,,,Not yet introduced,,,Non-Gavi
Viet Nam,VNM,WPR,Lower middle income,No,,,,,Not yet introduced,,,Non-Gavi
Yemen,YEM,EMR,Low income,No,,,,,Not yet introduced,,,Gavi
Zambia,ZMB,AFR,Lower middle income,Yes,2019,School-based,9,Female,1 dose,0.6,0.6,Gavi
Zimbabwe,ZWE,AFR,Lower middle income,Yes,2018,mixed,10,Female,2 doses (12 months),0.8,0.51,Gavi
